IPA-DI	IPPBR	IPPUS
787.0380	59.89324753	82.53984
792.5080	60.30951214	82.20836
799.1900	60.81800942	82.29123
808.0970	61.49582822	82.45697
827.0050	62.93471875	82.45697
825.9520	62.85458591	82.58128
825.6940	62.83495222	81.50395
844.9600	64.3010864	80.01226
845.8500	64.36881501	76.86315
860.8270	65.50855816	78.14766
879.9570	66.96434279	79.22499
907.5770	69.06621271	79.97083
956.9050	72.82005193	80.50949
998.7860	76.00717771	81.00672
1,047.3270	79.70112658	81.42108
1,081.9630	82.33691103	82.16692
1,089.2910	82.89456862	83.0785
1,132.0150	86.14584633	84.86024
1,170.5480	89.07819078	87.26351
1,200.8870	91.38697541	89.08668
1,235.7640	94.04109985	90.28831
1,287.7020	97.99355893	93.18881
1,284.3490	97.7383971	94.84623
1,305.5350	99.35064243	96.06858
1,300.0620	98.93414953	96.71705
1,284.8460	97.77621858	97.65474
1,309.2570	99.633885	99.63827
1,294.1110	98.48128103	100.80758
1,314.0680	100	100
